Регион,Округ,Население,Бюджет,Бюджет МиММ,Бюджет ПВ,Бюджет ВД,Бюджет ПиП,Бюджет других расходов,Общее количество организаций,Кол-во организаций МиММ,Кол-во организаций ПВ,Кол-во организаций ВД,Кол-во организаций ПиП,Кол-во других организаций,Общее количество вовлеченной молодежи,Численность МиММ,Численность ПВ,Численность ВД,Численность ПиП,Численность других отделений,M1 Вовлеченность,Бюджет на человек,M2 Вовлеченность,M3 Итоговая,Уровень вовлеченности населения,Уровень финансирования населения
Еврейская автономная область,ДФО,43995.0,27683704.0,615552.0,109800.0,3609389.0,240478.0,23108485.0,421.5,13.0,232.0,94.0,0.0,82.5,70771.0,184.0,23544.0,12630.0,150.0,34263.0,0.06434458461188772,9779.32486470447,0.8570303850446853,0.1197021103059071,Средний,Низкий
Забайкальский край,ДФО,318799.0,1174545272.5,0.0,540000.0,391800.0,0.0,1173613472.5,488.0,0.0,714.0,6.0,0.0,-232.0,479135.0,2600.0,180000.0,84000.0,70.0,212465.0,0.06011750350534349,61284.67303056549,0.1367581507711505,0.08352031782276645,Средний,Низкий
Ивановская область,ЦФО,251961.0,63330679.0,288300.0,5492226.0,1311283.0,23700.0,56215170.0,2674.0,78.0,1032.0,556.0,0.0,1008.0,445042.0,7208.0,119500.0,98516.0,74.0,219744.0,0.07065252162040951,3557.5675441868407,2.3558733460928387,0.13719070110439938,Средний,Низкий
Иркутская область,СФО,670175.0,661019328.0,9639848.0,48689373.0,19459750.0,88600.0,583141757.0,2665.0,34.0,1730.0,1140.0,0.0,-239.0,1984546.0,4228.0,2378984.0,198784.0,236.0,-597686.0,0.11844941992763085,8327.084985684383,1.0064960990170448,0.21195493840418664,Высокий,Низкий
Кабардино-Балкарская Республика,СКФО,266370.0,27776781.5,2728323.0,1937000.0,1468800.0,289624.0,21353034.5,762.0,36.0,428.0,166.0,0.0,132.0,188501.5,4156.0,81002.0,69620.0,20.0,33703.5,0.02830671622179675,3683.893961056013,2.275086808381481,0.05591770227442987,Низкий,Низкий
Калининградская область,СЗФО,278772.0,240633114.5,11314818.0,10343057.0,11282687.0,540000.0,207152552.5,625.0,6.0,846.0,260.0,0.0,-487.0,222607.0,3390.0,47046.0,98024.0,196.0,73951.0,0.031941084470463316,27024.43257624423,0.31013337766218974,0.05791719353300719,Низкий,Низкий
Калужская область,ЦФО,253901.0,34460792.0,421879.0,6236572.0,2472536.0,0.0,25329805.0,1371.0,16.0,836.0,442.0,0.0,77.0,269858.0,2294.0,124706.0,33282.0,10.0,109566.0,0.042513893210345766,3192.4930889578964,2.6252769609003432,0.0836727843123998,Низкий,Низкий
Камчатский край,ДФО,88270.0,226922162.0,3894233.0,12002385.0,5021980.0,15000.0,205988564.0,517.0,14.0,264.0,266.0,0.0,-27.0,144517.0,36.0,96500.0,19310.0,52.0,28619.0,0.0654886144783052,39255.27135215926,0.2135045374947771,0.10023268489911419,Средний,Низкий
Карачаево-Черкесская Республика,СКФО,137167.0,29685127.5,615552.0,0.0,4288152.0,240478.0,24540945.5,1263.5,13.0,0.0,450.0,0.0,800.5,445720.0,3066.0,0.0,122344.0,150.0,320160.0,0.12997878498472665,1665.0098436237997,5.033711113703433,0.2534139994307198,Высокий,Низкий
Кемеровская область,СФО,698455.0,354464795.0,0.0,5157020.0,1887786.0,1945912.0,345474077.0,3393.0,4.0,1132.0,892.0,0.0,1365.0,820053.0,5400.0,131314.0,277722.0,900.0,404717.0,0.04696382730455076,10806.155059490056,0.7755930308360988,0.08856486162217701,Низкий,Низкий
Кировская область,ПФО,295793.0,40171371.0,1754149.0,4186953.0,1150901.0,5423561.0,27655807.0,1763.0,42.0,518.0,454.0,0.0,749.0,938782.0,8108.0,449428.0,445376.0,2802.0,33068.0,0.1269512125033385,1069.7736801515155,7.834534266245625,0.24985378096930813,Высокий,Низкий
Костромская область,ЦФО,152908.0,18716383.0,557252.0,2820854.0,1324363.0,157023.0,13856891.0,1962.0,20.0,912.0,388.0,0.0,642.0,616140.0,11434.0,377446.0,156578.0,332.0,70350.0,0.1611792711957517,759.4208702567598,11.036276302810935,0.31771842441264764,Высокий,Низкий
Краснодарский край,ЮФО,1492183.0,266881631.0,2640900.0,30978972.0,9817526.0,238400.0,223205833.0,506.0,20.0,216.0,150.0,0.0,120.0,4359276.0,8580.0,4000530.0,1167232.0,136.0,-817202.0,0.1168563373259178,1530.5387351018837,5.4759663130752605,0.22882948617016644,Высокий,Низкий
Красноярский край,СФО,797416.0,136053732.0,33420283.0,16078190.0,17034413.0,2265060.0,67255786.0,1423.0,6.0,700.0,404.0,0.0,313.0,358849.0,3004.0,89698.0,79854.0,252.0,186041.0,0.018000591911875356,9478.480642275721,0.8842322805295585,0.03528291846438496,Низкий,Низкий
Курганская область,УФО,198202.0,21281312.0,932000.0,2632783.0,711619.0,325249.0,16679661.0,2635.0,30.0,1108.0,712.0,0.0,785.0,234017.0,436.0,74794.0,48568.0,72.0,110147.0,0.0472279795360289,2273.4792771465322,3.6864987680002264,0.09326118387725953,Низкий,Низкий
